ano,vendas,lucro,produto
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
2025,1000,250,a
2024,5220,3000,b
2023,45646,4000,c
